inputDataLabel,outputDataLabel,inputVersion,outputVersion,varId,used,name,nameWithinFile,datasetGroupPath,bitPosition,bitCount,type,divisor,unit,min,max,nodata_value,nodata_value2,resamplingFactor,comment,Comment_2
Data label of the file used as an input,Data label of the file generated as an output,version of the input,Version of the output,Unique id of the output variable,"1: included in the generation, 0: excluded",,Field name in the file,For .h5 files,,,,,,,,,,1: 2400x2400 for mod09ga. 2: 1200x1200,0,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,31,0,bandQA5,,,,,uint8,,unitless,0,15,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,32,0,bandQA6,,,,,uint8,,unitless,0,15,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,33,0,bandQA7,,,,,uint8,,unitless,0,15,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,34,0,atmosCorr,,,,,uint8,,unitless,0,1,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,35,0,adjCorr,,,,,uint8,,unitless,0,1,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,52,0,refl,,,,,int16,,hundredth,,,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,53,0,NoValues,,,,,uint8,,unitless,,,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,54,1,viewable_snow_fraction_s,raw_snow_fraction,/Grid/MODIS_GRID_500m/,,,uint8,1,percent,0,100,255,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,56,0,shade_fraction_s,shade_fraction,,,,uint8,1,percent,0,100,255,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,57,1,grain_size_s,grain_size,/Grid/MODIS_GRID_500m/,,,uint16,1,microns,40,1190,65535,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,58,1,dust_concentration_s,dust,/Grid/MODIS_GRID_500m/,,,uint16,10,tenths of unitless,0,9500,65535,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,55,1,snow_fraction_s,snow_fraction,/Grid/MODIS_GRID_500m/,,,uint8,1,percent,0,100,255,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,59,0,notprocessed,,,,,uint8,1,unitless,0,1,255,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,60,0,notprocessed_s,,,,,uint8,1,unitless,0,1,255,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,61,0,snow_cover_days_s,,,,,uint16,1,day,0,366,65535,,1,,
